G301_G299_A	 STF
G168_G147_A	 STR
G75_G97_A	 STR
G299_G239_A	 STR
G414	 STR
G629	 STF
G159	 STF
G293	 STF
G305	 STF
G602	 STF
G324_G312_B	 STF
G68_G515_B	 STR
G47_G306_A	 STF
G555	 STR
G198	 STF
G56	 STR
G465	 STF
G452	 STR
G396	 STF
G85_G602_A	 STR
G499	 STR
G616_G476_B	 STF
G42_G239_B	 STR
G457_G618_A	 STF
G269_G289_B	 STR
G385	 STR
G325	 STR
G66_G454_B	 STR
G420	 STF
G348_G698_A	 STR
G431_G425_A	 STF
G434_G461_A	 STR
G177_G138_A	 STR
G223_G220_A	 STF
G427	 STR
G522	 STF
G45_G294_A	 STR
G604	 STR
G269_G281_A	 STF
G331	 STR
G58_G413_B	 STR
G50_G300_A	 STF
G412_G406_A	 STF
G432_G430_A	 STF
G51_G375_B	 STR
G597	 STF
G208	 STR
G523_G358_A	 STF
G457_G355_A	 STR
G49_G301_B	 STF
G386	 STF
G138	 STF
G54_G377_B	 STF
G642	 STF
G99	 STR
G500_G501_B	 STF
G350	 STR
G276	 STF
G604_G591_B	 STR
G631	 STF
G479_G480_A	 STR
G476_G627_A	 STR
G183_G222_A	 STR
G580	 STR
G35_G353_A	 STF
G233	 STR
G398	 STF
G624	 STR
G595	 STF
G283	 STR
G268_G289_C	 STF
G268	 STR
G103	 STF
G400	 STR
G433	 STR
G348	 STR
G187	 STF
G214	 STF
G700_G110_A	 STF
G551_G552_A	 STF
G178_G181_A	 STR
G394_G387_A	 STR
G246	 STF
G413_G414_A	 STF
G435_G439_A	 STR
G432_G429_A	 STF
G497	 STF
G130	 STR
G245	 STR
G228_G522_B	 STF
G435_G231_A	 STF
G206	 STF
G498	 STF
G444	 STF
G358_G431_A	 STR
G265_G261_A	 STF
G439	 STR
G481_G478_A	 STF
G219	 STF
G262	 STR
========================================================================


G105_G282_A	 STF
G50	 STF
G561	 STR
G229_G344_A	 STF
G43_G287_A	 STR
G130	 STF
G348_G698_A	 STR
G535	 STF
G62_G429_B	 STR
G645_G639_B	 STR
G645	 STF
G137	 STF
G181	 STR
G291	 STR
G57	 STR
G161	 STF
G256	 STR
G331	 STR
G72_G519_A	 STR
G28	 STR
G587	 STF
G187	 STR
G522_G202_A	 STR
G623	 STR
G313	 STR
G481	 STF
G442	 STF
G74	 STR
G617	 STF
G282	 STF
G469	 STF
G101_G275_A	 STF
G58_G413_B	 STF
G45_G254_B	 STR
G311	 STR
G57_G400_B	 STR
G348_G523_A	 STR
G345	 STR
G76	 STF
G83_G598_B	 STF
G103_G278_A	 STR
G634	 STF
G96	 STR
G57_G399_B	 STF
G290	 STF
G78_G100_A	 STR
G262_G244_A	 STR
G42_G262_B	 STR
G429	 STF
G543	 STR
G289	 STF
G87_G673_A	 STF
G38_G200_B	 STR
G601	 STF
G596_G99_B	 STF
G75	 STF
G74_G96_A	 STR
G447	 STR
G268_G279_A	 STR
G544	 STR
G596	 STF
G527	 STF
G84	 STF
G49	 STR
G53_G358_B	 STR
G642	 STR
G118	 STR
G75_G584_B	 STF
G61	 STR
G279	 STR
G357	 STF
G99	 STR
G449	 STF
G111	 STF
G688	 STF
G670	 STF
G687	 STR
G500_G492_B	 STF
G413_G414_A	 STR
G269	 STF
G416	 STR
G263_G249_A	 STR
G301_G334_A	 STF
G557	 STR
G78	 STR
G523_G363_A	 STF
G178_G167_B	 STF
G186	 STF
G63_G439_B	 STR
G462	 STR
G436	 STR
G615	 STF
G324_G318_B	 STF
G550_G551_A	 STF
G522	 STF
G142_G141_B	 STF
G645_G633_B	 STF
G337	 STR
G58_G402_B	 STR
========================================================================


G104_G280_A	 STF
G619	 STR
G348_G344_B	 STR
G214	 STF
G351	 STR
G79	 STF
G500_G501_B	 STF
G490	 STF
G368	 STR
G289	 STF
G57_G399_B	 STF
G435_G593_A	 STR
G692	 STR
G479_G467_A	 STR
G103_G293_B	 STF
G469	 STF
G229_G344_A	 STR
G222	 STF
G48_G312_A	 STF
G172_G173_A	 STR
G170_G157_A	 STF
G548	 STF
G572	 STF
G376_G374_A	 STF
G524	 STR
G563	 STF
G324_G306_B	 STR
G180_G183_A	 STF
G429	 STF
G30_G146_B	 STF
G84	 STR
G169	 STF
G47_G300_D	 STF
G604_G528_A	 STR
G46_G285_A	 STF
G81_G580_A	 STR
G269_G289_B	 STR
G694	 STR
G222_G215_A	 STR
G171	 STR
G610_G575_B	 STR
G264_G255_A	 STR
G79_G578_A	 STR
G101_G291_B	 STF
G46_G295_A	 STF
G340	 STF
G618	 STR
G172	 STF
G326	 STF
G290	 STR
G82_G586_A	 STR
G101	 STR
G354	 STR
G81	 STR
G621	 STR
G558	 STR
G497	 STF
G333	 STF
G543	 STF
G110	 STR
G216_G215_B	 STR
G74_G550_B	 STR
G512	 STF
G492	 STR
G70_G474_B	 STR
G151	 STF
G62	 STR
G598	 STR
G606	 STF
G25_G115_B	 STF
G316	 STR
G297_G298_A	 STF
G655	 STR
G604_G550_A	 STR
G45_G284_A	 STF
G196	 STR
G391	 STR
G553	 STR
G144	 STF
G279	 STF
G480_G481_A	 STF
G645_G355_B	 STF
G267_G290_A	 STF
G508	 STF
G409	 STF
G31	 STR
G300	 STF
G284	 STF
G172_G167_A	 STF
G268_G289_C	 STF
G615_G443_A	 STR
G167	 STR
G363	 STF
G43_G292_A	 STF
G324_G318_B	 STR
G589	 STR
========================================================================


G562	 STF
G644	 STR
G210	 STF
G198	 STR
G359	 STF
G487_G521_A	 STR
G596_G99_B	 STR
G51_G362_B	 STR
G554	 STR
G73_G501_A	 STR
G178_G167_B	 STF
G45_G280_B	 STF
G54	 STR
G75_G97_A	 STR
G33_G161_B	 STF
G79_G583_A	 STR
G122	 STF
G57_G400_B	 STR
G52_G367_B	 STR
G134_G120_A	 STR
G489	 STR
G210_G206_B	 STF
G587	 STR
G169_G151_A	 STF
G48_G319_A	 STR
G527	 STR
G590	 STF
G610_G606_B	 STR
G573	 STF
G546	 STF
G680	 STR
G102_G292_B	 STF
G461	 STR
G542	 STF
G485	 STF
G81_G580_A	 STR
G575	 STF
G170_G157_A	 STR
G99	 STF
G120	 STR
G105	 STR
G500_G501_B	 STR
G30	 STR
G547	 STF
G577	 STR
