II109_II127_1_C	 STR
II109	 STR
II3	 STR
II135_2	 STF
II92_II131_1_B	 STF
II92	 STF
II4	 STF
II104_II135_1_B	 STR
Y_1	 STF
II43_II135_1_A	 STF
II127_1	 STR
II109_II131_2_B	 STR
II135_1	 STF
Y_2	 STR
II43	 STF
II131_2	 STR
II5	 STF
II100	 STR
II100_II109_B	 STF
II104	 STR
II131_1	 STF
II6	 STF
Y_1_II92_B	 STR
II44	 STF
II100_II135_2_B	 STF
Y_1_II100_A	 STR
========================================================================


II131_2	 STR
II44	 STR
II5	 STR
II43_II135_1_A	 STF
Y_2	 STR
Y_1_II100_A	 STF
II104	 STF
II135_1	 STF
II100_II109_B	 STR
II109_II131_2_B	 STR
II135_2	 STF
II100	 STR
II100_II135_2_B	 STF
Y_1_II92_B	 STF
II43	 STF
Y_1	 STF
II104_II135_1_B	 STF
II4	 STR
II6	 STR
========================================================================


II100_II109_B	 STR
II135_1	 STF
II43	 STF
II104_II135_1_B	 STF
II43_II135_1_A	 STF
II100_II135_2_B	 STF
Y_1	 STF
II44	 STR
Y_1_II100_A	 STF
II6	 STR
Y_1_II92_B	 STF
II5	 STR
Y_2	 STR
II104	 STF
II135_2	 STF
II100	 STR
========================================================================


II5	 STR
II135_2	 STF
II100_II135_2_B	 STF
========================================================================


